"Var1","Var2","CO_Hellenistic","CO_Roman","CO_diff","Cost","MI_Hellenistic","MI_Roman","MI_diff"
100,339,0.6,0.4,0.2,NA,0.1184939225613,0.0138442938083905,0.104649628752909
100,344,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
100,345,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
100,347,0.6,0.4,0.2,NA,0.1184939225613,0.0138442938083905,0.104649628752909
100,352,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
100,353,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
100,36,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
100,364,0.8,0.4,0.4,NA,0.291103166032368,0.1184939225613,0.172609243471068
100,369,0.6,0.2,0.4,NA,0.1184939225613,0.291103166032368,-0.172609243471068
100,389,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
100,39,0.6,0.6,0,NA,0.1184939225613,0.0138442938083905,0.104649628752909
100,40,0.8,0.4,0.4,NA,0.291103166032368,0.1184939225613,0.172609243471068
100,409,0.8,0.4,0.4,NA,0.291103166032368,0.1184939225613,0.172609243471068
100,411,1,0.6,0.4,NA,0.673011667009256,0,0.673011667009256
100,413,0.8,0.8,0,NA,0.291103166032368,0.291103166032368,0
100,414,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
100,415,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
100,416,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
100,420,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
100,421,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
100,422,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
100,423,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
100,424,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
100,428,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
100,431,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
100,435,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
100,436,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
100,444,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
100,46,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
100,460,0.8,0.4,0.4,NA,0.291103166032368,0.1184939225613,0.172609243471068
100,478,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
100,49,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
100,59,0.8,0.6,0.2,NA,0.291103166032368,0.0138442938083905,0.277258872223978
100,69,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
100,70,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
100,78,0.6,0.4,0.2,NA,0.1184939225613,0.0138442938083905,0.104649628752909
100,79,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
100,80,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
100,83,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
100,87,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
