start poin,end point,total cost,layer,path
28,13,15.389,Apamea,C:/Users/him628/Documents/Apamea-LCP.shp|layername=Apamea-LCP
28,460,16.305,Apamea,C:/Users/him628/Documents/Apamea-LCP.shp|layername=Apamea-LCP
28,16,16.519,Apamea,C:/Users/him628/Documents/Apamea-LCP.shp|layername=Apamea-LCP
28,41,18.585,Apamea,C:/Users/him628/Documents/Apamea-LCP.shp|layername=Apamea-LCP
28,66,18.673,Apamea,C:/Users/him628/Documents/Apamea-LCP.shp|layername=Apamea-LCP
28,34,18.673,Apamea,C:/Users/him628/Documents/Apamea-LCP.shp|layername=Apamea-LCP
28,387,23.900,Apamea,C:/Users/him628/Documents/Apamea-LCP.shp|layername=Apamea-LCP
28,57,25.822,Apamea,C:/Users/him628/Documents/Apamea-LCP.shp|layername=Apamea-LCP
28,63,38.706,Apamea,C:/Users/him628/Documents/Apamea-LCP.shp|layername=Apamea-LCP
34,66,0.000,Argos,C:/Users/him628/Documents/Argos-LCP.shp|layername=Argos-LCP
34,34,0.000,Argos,C:/Users/him628/Documents/Argos-LCP.shp|layername=Argos-LCP
34,41,1.580,Argos,C:/Users/him628/Documents/Argos-LCP.shp|layername=Argos-LCP
34,460,4.849,Argos,C:/Users/him628/Documents/Argos-LCP.shp|layername=Argos-LCP
34,387,5.850,Argos,C:/Users/him628/Documents/Argos-LCP.shp|layername=Argos-LCP
34,40,6.482,Argos,C:/Users/him628/Documents/Argos-LCP.shp|layername=Argos-LCP
34,102,6.544,Argos,C:/Users/him628/Documents/Argos-LCP.shp|layername=Argos-LCP
34,139,7.719,Argos,C:/Users/him628/Documents/Argos-LCP.shp|layername=Argos-LCP
34,334,7.929,Argos,C:/Users/him628/Documents/Argos-LCP.shp|layername=Argos-LCP
34,91,8.589,Argos,C:/Users/him628/Documents/Argos-LCP.shp|layername=Argos-LCP
34,347,8.589,Argos,C:/Users/him628/Documents/Argos-LCP.shp|layername=Argos-LCP
34,365,9.009,Argos,C:/Users/him628/Documents/Argos-LCP.shp|layername=Argos-LCP
34,13,13.414,Argos,C:/Users/him628/Documents/Argos-LCP.shp|layername=Argos-LCP
34,330,16.549,Argos,C:/Users/him628/Documents/Argos-LCP.shp|layername=Argos-LCP
34,57,16.973,Argos,C:/Users/him628/Documents/Argos-LCP.shp|layername=Argos-LCP
34,26,18.089,Argos,C:/Users/him628/Documents/Argos-LCP.shp|layername=Argos-LCP
34,100,18.089,Argos,C:/Users/him628/Documents/Argos-LCP.shp|layername=Argos-LCP
34,92,18.673,Argos,C:/Users/him628/Documents/Argos-LCP.shp|layername=Argos-LCP
34,28,18.673,Argos,C:/Users/him628/Documents/Argos-LCP.shp|layername=Argos-LCP
34,409,19.294,Argos,C:/Users/him628/Documents/Argos-LCP.shp|layername=Argos-LCP
34,63,20.033,Argos,C:/Users/him628/Documents/Argos-LCP.shp|layername=Argos-LCP
34,411,20.271,Argos,C:/Users/him628/Documents/Argos-LCP.shp|layername=Argos-LCP
34,121,22.056,Argos,C:/Users/him628/Documents/Argos-LCP.shp|layername=Argos-LCP
34,364,22.056,Argos,C:/Users/him628/Documents/Argos-LCP.shp|layername=Argos-LCP
34,16,22.596,Argos,C:/Users/him628/Documents/Argos-LCP.shp|layername=Argos-LCP
34,212,23.931,Argos,C:/Users/him628/Documents/Argos-LCP.shp|layername=Argos-LCP
34,216,23.931,Argos,C:/Users/him628/Documents/Argos-LCP.shp|layername=Argos-LCP
34,336,29.475,Argos,C:/Users/him628/Documents/Argos-LCP.shp|layername=Argos-LCP
40,40,0.000,Assos,C:/Users/him628/Documents/Assos-LCP.shp|layername=Assos-LCP
40,460,1.790,Assos,C:/Users/him628/Documents/Assos-LCP.shp|layername=Assos-LCP
40,91,2.107,Assos,C:/Users/him628/Documents/Assos-LCP.shp|layername=Assos-LCP
40,347,2.107,Assos,C:/Users/him628/Documents/Assos-LCP.shp|layername=Assos-LCP
40,365,2.990,Assos,C:/Users/him628/Documents/Assos-LCP.shp|layername=Assos-LCP
40,334,3.070,Assos,C:/Users/him628/Documents/Assos-LCP.shp|layername=Assos-LCP
40,66,6.482,Assos,C:/Users/him628/Documents/Assos-LCP.shp|layername=Assos-LCP
40,34,6.482,Assos,C:/Users/him628/Documents/Assos-LCP.shp|layername=Assos-LCP
40,41,7.024,Assos,C:/Users/him628/Documents/Assos-LCP.shp|layername=Assos-LCP
40,102,8.068,Assos,C:/Users/him628/Documents/Assos-LCP.shp|layername=Assos-LCP
40,139,8.353,Assos,C:/Users/him628/Documents/Assos-LCP.shp|layername=Assos-LCP
40,387,9.385,Assos,C:/Users/him628/Documents/Assos-LCP.shp|layername=Assos-LCP
40,13,10.066,Assos,C:/Users/him628/Documents/Assos-LCP.shp|layername=Assos-LCP
40,330,12.391,Assos,C:/Users/him628/Documents/Assos-LCP.shp|layername=Assos-LCP
40,26,13.931,Assos,C:/Users/him628/Documents/Assos-LCP.shp|layername=Assos-LCP
40,100,13.931,Assos,C:/Users/him628/Documents/Assos-LCP.shp|layername=Assos-LCP
40,92,14.515,Assos,C:/Users/him628/Documents/Assos-LCP.shp|layername=Assos-LCP
40,28,14.515,Assos,C:/Users/him628/Documents/Assos-LCP.shp|layername=Assos-LCP
40,409,15.136,Assos,C:/Users/him628/Documents/Assos-LCP.shp|layername=Assos-LCP
40,411,16.113,Assos,C:/Users/him628/Documents/Assos-LCP.shp|layername=Assos-LCP
40,121,17.898,Assos,C:/Users/him628/Documents/Assos-LCP.shp|layername=Assos-LCP
40,364,17.898,Assos,C:/Users/him628/Documents/Assos-LCP.shp|layername=Assos-LCP
40,57,19.512,Assos,C:/Users/him628/Documents/Assos-LCP.shp|layername=Assos-LCP
40,212,19.773,Assos,C:/Users/him628/Documents/Assos-LCP.shp|layername=Assos-LCP
40,216,19.773,Assos,C:/Users/him628/Documents/Assos-LCP.shp|layername=Assos-LCP
40,16,23.106,Assos,C:/Users/him628/Documents/Assos-LCP.shp|layername=Assos-LCP
40,336,25.317,Assos,C:/Users/him628/Documents/Assos-LCP.shp|layername=Assos-LCP
40,63,25.477,Assos,C:/Users/him628/Documents/Assos-LCP.shp|layername=Assos-LCP
41,41,0.000,Athens,C:/Users/him628/Documents/Athens-LCP.shp|layername=Athens-LCP
41,66,1.580,Athens,C:/Users/him628/Documents/Athens-LCP.shp|layername=Athens-LCP
41,34,1.580,Athens,C:/Users/him628/Documents/Athens-LCP.shp|layername=Athens-LCP
41,460,5.391,Athens,C:/Users/him628/Documents/Athens-LCP.shp|layername=Athens-LCP
41,102,6.602,Athens,C:/Users/him628/Documents/Athens-LCP.shp|layername=Athens-LCP
41,387,6.881,Athens,C:/Users/him628/Documents/Athens-LCP.shp|layername=Athens-LCP
41,40,7.024,Athens,C:/Users/him628/Documents/Athens-LCP.shp|layername=Athens-LCP
41,139,7.632,Athens,C:/Users/him628/Documents/Athens-LCP.shp|layername=Athens-LCP
41,334,8.471,Athens,C:/Users/him628/Documents/Athens-LCP.shp|layername=Athens-LCP
41,365,8.640,Athens,C:/Users/him628/Documents/Athens-LCP.shp|layername=Athens-LCP
41,91,9.131,Athens,C:/Users/him628/Documents/Athens-LCP.shp|layername=Athens-LCP
41,347,9.131,Athens,C:/Users/him628/Documents/Athens-LCP.shp|layername=Athens-LCP
41,13,13.956,Athens,C:/Users/him628/Documents/Athens-LCP.shp|layername=Athens-LCP
41,330,16.462,Athens,C:/Users/him628/Documents/Athens-LCP.shp|layername=Athens-LCP
41,57,17.030,Athens,C:/Users/him628/Documents/Athens-LCP.shp|layername=Athens-LCP
41,26,18.002,Athens,C:/Users/him628/Documents/Athens-LCP.shp|layername=Athens-LCP
41,100,18.002,Athens,C:/Users/him628/Documents/Athens-LCP.shp|layername=Athens-LCP
41,92,18.585,Athens,C:/Users/him628/Documents/Athens-LCP.shp|layername=Athens-LCP
41,28,18.585,Athens,C:/Users/him628/Documents/Athens-LCP.shp|layername=Athens-LCP
41,409,19.207,Athens,C:/Users/him628/Documents/Athens-LCP.shp|layername=Athens-LCP
41,411,20.184,Athens,C:/Users/him628/Documents/Athens-LCP.shp|layername=Athens-LCP
41,63,21.163,Athens,C:/Users/him628/Documents/Athens-LCP.shp|layername=Athens-LCP
41,121,21.969,Athens,C:/Users/him628/Documents/Athens-LCP.shp|layername=Athens-LCP
41,364,21.969,Athens,C:/Users/him628/Documents/Athens-LCP.shp|layername=Athens-LCP
41,16,22.509,Athens,C:/Users/him628/Documents/Athens-LCP.shp|layername=Athens-LCP
41,212,23.844,Athens,C:/Users/him628/Documents/Athens-LCP.shp|layername=Athens-LCP
41,216,23.844,Athens,C:/Users/him628/Documents/Athens-LCP.shp|layername=Athens-LCP
41,336,29.388,Athens,C:/Users/him628/Documents/Athens-LCP.shp|layername=Athens-LCP
57,57,0.000,Berenice,C:/Users/him628/Documents/Berenice-LCP.shp|layername=Berenice-LCP
57,102,11.531,Berenice,C:/Users/him628/Documents/Berenice-LCP.shp|layername=Berenice-LCP
57,139,14.066,Berenice,C:/Users/him628/Documents/Berenice-LCP.shp|layername=Berenice-LCP
57,66,16.973,Berenice,C:/Users/him628/Documents/Berenice-LCP.shp|layername=Berenice-LCP
